,Date,Location,Gender
336,01/25/2010,Northeast,M
337,01/26/2010,Northeast,M
338,01/29/2010,Northeast,M
339,02/05/2010,Northeast,M
340,02/25/2010,Northeast,M
341,03/28/2010,Northeast,M
342,04/01/2010,Northeast,M
343,03/12/2010,Central,F
344,04/16/2010,Northeast,M
345,05/02/2010,Northeast,M
346,05/08/2010,Northeast,F
347,05/16/2010,Northeast,F
348,05/21/2010,Northeast,M
349,06/15/2010,Northeast,M
350,06/15/2010,Northeast,M
351,03/05/2013,Hollywood,M
352,06/27/2010,Northeast,M
353,07/12/2010,Northeast,M
354,09/06/2013,Van Nuys,M
355,07/21/2010,Northeast,M
356,07/21/2010,Northeast,M
357,07/27/2010,Northeast,M
358,08/04/2010,Northeast,M
359,09/04/2010,Northeast,M
360,09/17/2010,Northeast,M
361,09/27/2010,Northeast,M
362,10/01/2010,Northeast,M
363,10/29/2010,Northeast,M
364,11/11/2010,Northeast,M
365,01/10/2010,77th Street,M
366,09/23/2010,77th Street,M
367,06/08/2013,Van Nuys,M
368,02/26/2010,77th Street,M
369,05/04/2010,Central,M
370,05/05/2010,Central,M
371,03/18/2010,77th Street,F
372,03/30/2010,77th Street,M
373,04/15/2010,77th Street,M
374,04/25/2010,77th Street,F
375,05/21/2010,77th Street,M
376,05/23/2010,77th Street,M
377,05/26/2010,77th Street,F
378,06/22/2010,77th Street,M
379,06/29/2010,77th Street,M
380,06/29/2010,77th Street,M
381,06/30/2010,77th Street,F
382,07/14/2010,77th Street,M
383,07/19/2010,77th Street,M
384,05/10/2010,Central,M
385,08/24/2010,77th Street,M
386,09/22/2010,77th Street,M
387,05/11/2010,Central,F
388,04/19/2013,Van Nuys,M
389,10/13/2010,77th Street,M
390,10/17/2010,77th Street,M
391,10/19/2010,77th Street,M
392,12/06/2010,77th Street,M
393,12/30/2010,77th Street,M
394,12/30/2010,77th Street,M
395,12/30/2010,77th Street,M
396,07/10/2010,Newton,M
397,01/07/2010,Newton,M
398,01/15/2010,Newton,M
399,01/18/2010,Newton,M
400,01/27/2010,Newton,M
401,02/20/2010,Newton,M
402,02/24/2010,Newton,F
403,02/24/2010,Newton,F
404,03/01/2010,Newton,M
405,03/07/2010,Newton,M
406,03/08/2010,Newton,M
407,03/14/2010,Newton,M
408,03/21/2010,Newton,M
409,03/30/2010,Newton,M
410,10/11/2013,Hollenbeck,M
411,05/12/2010,Central,M
412,04/06/2010,Newton,M
413,04/09/2010,Newton,M
414,05/12/2010,Central,M
415,05/12/2010,Central,M
416,04/25/2010,Newton,M
417,04/26/2010,Newton,M
418,05/02/2010,Newton,M
419,12/07/2013,Hollenbeck,M
420,06/06/2010,Newton,M
421,07/09/2010,Newton,M
422,07/17/2010,Newton,M
423,07/21/2010,Newton,M
424,05/24/2010,Central,M
425,06/02/2010,Central,M
426,07/25/2010,Newton,M
427,07/29/2010,Newton,M
428,07/31/2010,Newton,F
429,07/31/2010,Newton,M
430,08/02/2010,Newton,M
431,08/02/2010,Newton,M
432,08/15/2010,Newton,M
433,06/06/2010,Central,M
434,08/21/2010,Newton,F
435,08/21/2010,Newton,M
436,06/11/2010,Central,M
437,06/15/2010,Central,M
438,12/12/2013,Van Nuys,M
439,06/19/2010,Central,F
440,06/21/2010,Central,M
441,10/19/2010,Newton,M
442,10/19/2010,Newton,M
443,10/27/2010,Newton,M
444,06/22/2010,Central,M
445,06/23/2010,Central,M
446,07/13/2010,Central,M
447,07/31/2010,Central,M
448,01/08/2010,Pacific,F
449,02/18/2010,Pacific,M
450,03/25/2010,Pacific,M
451,04/25/2010,Pacific,M
452,04/26/2010,Pacific,M
453,04/26/2010,Pacific,M
454,06/02/2010,Pacific,M
455,06/16/2010,Pacific,M
456,07/02/2010,Pacific,M
457,07/09/2010,Pacific,M
458,07/09/2010,Pacific,M
459,09/01/2010,Pacific,M
460,09/13/2010,Pacific,M
461,10/03/2010,Pacific,M
462,10/27/2010,Pacific,M
463,09/05/2010,Pacific,M
464,10/28/2010,Pacific,M
465,11/23/2010,Pacific,M
466,11/24/2010,Pacific,M
467,04/14/2010,West LA,M
468,01/05/2010,Pacific,F
